,Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num,prev_ORtg,prev_DRtg
259,99,109,1,HOU,0.5,0.5489999999999999,0.44,0.35100000000000003,27,16,23,14,76,16,71,26,7,6,104.78962688541945,115.37443768192644,1.6875,1.6428571428571428,94.475,18,19,106.36576151173035,100.17666043010881
260,138,93,1,ATL,0.564,0.348,0.419,0.214,34,15,20,19,94,25,92,27,11,15,125.05663797009515,84.27729950158587,2.2666666666666666,1.0526315789473684,110.35,18,14,105.91409936320927,101.30738776979977
261,115,125,0,NOP,0.484,0.483,0.385,0.4,30,13,29,11,95,13,87,34,10,10,106.32150699179476,115.56685542586386,2.3076923076923075,2.636363636363636,108.1625,18,28,106.85769329448074,101.4712371985258
262,98,104,0,MIL,0.426,0.455,0.293,0.306,30,17,21,15,94,9,88,22,13,13,93.90346149239427,99.65265301233678,1.7647058823529411,1.4,104.3625,18,1,107.47864798204975,103.3127994478251
263,103,101,0,MIN,0.472,0.443,0.4,0.281,29,13,24,17,89,6,79,26,9,8,99.90300678952472,97.9631425800194,2.230769230769231,1.4117647058823528,103.1,18,29,107.66943806243677,104.41065415239437
264,112,87,1,ORL,0.473,0.405,0.321,0.25,33,11,24,13,93,17,79,19,12,4,106.11084793936523,82.42539081004261,3.0,1.8461538461538465,105.55,18,8,107.21695125757618,104.92351813017058
265,105,98,0,OKC,0.411,0.359,0.333,0.231,26,14,22,10,95,24,103,23,15,19,103.7934017051773,96.87384159149885,1.8571428571428568,2.2,101.1625,18,20,107.21417930538021,104.2457970739413
266,117,85,1,LAL,0.485,0.391,0.36,0.14300000000000002,28,11,19,12,97,15,87,18,16,8,112.13609680124594,81.4663951120163,2.5454545454545454,1.5833333333333333,104.3375,18,16,106.47449746024773,102.70098409771649
267,113,112,0,POR,0.46,0.529,0.467,0.273,28,11,19,14,87,26,85,21,13,12,115.11524258245258,114.09652362154593,2.5454545454545454,1.3571428571428572,98.1625,18,23,106.66524801586142,100.57980455946532
268,106,103,0,TOR,0.449,0.46,0.393,0.268,32,20,28,17,89,24,87,12,15,7,100.9043312708234,98.04854831032841,1.6,1.6470588235294117,105.05,18,2,106.33351014333371,98.85797827975213
269,124,118,0,ORL,0.5489999999999999,0.474,0.579,0.408,34,10,30,9,82,37,95,8,4,6,127.58842443729904,121.41479099678455,3.4,3.333333333333333,97.1875,18,8,105.74376548862428,96.92215728678019
270,107,113,0,CHO,0.386,0.384,0.229,0.371,24,9,20,9,101,26,86,38,20,13,98.4360625574977,103.95584176632934,2.6666666666666665,2.2222222222222223,108.7,18,9,106.97452517617539,97.04802452383866
271,98,106,0,ATL,0.371,0.43,0.25,0.35700000000000004,28,15,33,18,97,21,93,16,11,9,87.27596571301348,94.40053434264723,1.8666666666666667,1.8333333333333333,112.2875,18,14,106.96332525260048,98.49641345225027
272,105,99,1,MEM,0.506,0.5,0.321,0.333,22,13,22,14,77,23,74,17,11,6,114.75409836065573,108.19672131147541,1.6923076923076923,1.5714285714285714,91.5,18,24,107.02859863251726,98.9575035188445
273,109,98,1,OKC,0.506,0.411,0.324,0.368,29,20,14,13,83,15,90,29,12,19,115.40497617787187,103.75860243515088,1.45,1.0769230769230769,94.45,18,20,107.90302778225231,100.7885947141264
274,95,86,1,TOR,0.424,0.398,0.333,0.2,21,8,13,11,85,16,88,14,10,13,105.40915395284328,95.42302357836338,2.625,1.181818181818182,90.125,18,2,108.22285756210945,102.37123300134022
275,126,118,1,DAL,0.556,0.465,0.414,0.405,33,15,26,8,90,18,86,30,12,6,121.27045235803658,113.57074109720884,2.2,3.25,103.9,18,22,107.81989671164256,103.5417142959241
276,111,132,0,LAC,0.423,0.5760000000000001,0.29,0.5,21,9,28,15,97,25,92,17,13,13,104.74168435951876,124.5576786978061,2.333333333333333,1.8666666666666667,105.975,18,17,108.22568139856953,104.25632950003592
277,103,111,0,SAS,0.389,0.467,0.45,0.313,29,12,29,10,90,23,90,22,11,7,100.30432136335972,108.09494826536823,2.4166666666666665,2.9,102.6875,18,26,108.10384405001487,105.82740647978157
278,102,99,1,SAS,0.459,0.449,0.345,0.29600000000000004,29,20,23,10,85,17,89,20,16,12,107.6091256758539,104.44415139126993,1.45,2.3,94.7875,18,26,107.92281174631063,105.93993434738545
279,122,118,0,PHO,0.5529999999999999,0.5379999999999999,0.514,0.379,31,21,29,13,76,26,91,14,10,12,133.33333333333331,128.96174863387978,1.4761904761904765,2.230769230769231,91.5,18,25,108.43530892902145,106.79561185465
280,115,108,1,NYK,0.463,0.452,0.353,0.407,36,8,28,8,95,23,93,18,16,15,118.26712945108628,111.06826070188973,4.5,3.5,97.2375,18,12,109.16763078114322,108.14261338351322
281,117,113,0,SAC,0.461,0.5,0.359,0.419,24,14,25,8,89,30,90,15,16,7,117.95841209829868,113.92564587271579,1.7142857142857142,3.125,99.1875,18,27,110.73091716975131,109.84835441596752
282,123,110,1,CHO,0.461,0.476,0.359,0.379,30,7,22,17,102,20,82,26,17,12,111.38781978718588,99.61512338691419,4.285714285714286,1.2941176470588236,110.425,18,9,112.55151142736314,111.74592645293208
283,113,125,0,HOU,0.473,0.5,0.241,0.468,26,14,28,15,93,21,76,34,14,4,101.28851540616245,112.04481792717087,1.8571428571428568,1.8666666666666667,111.5625,18,19,113.1922701917426,112.159213380107
