Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
94,134,0,SAS,0.412,0.605,0.3,0.476,23,9,32,12,85,25,81,29,9,7,93.69548965860952,133.56591078993273,2.555555555555556,2.6666666666666665,100.325,16,26
97,113,0,LAC,0.45,0.522,0.476,0.35700000000000004,21,14,28,7,80,27,92,8,6,7,105.07786052809747,122.41029113067027,1.5,4.0,92.3125,16,17
97,102,1,DET,0.434,0.4320000000000001,0.231,0.36,19,14,24,7,83,24,95,16,9,10,103.74331550802137,109.09090909090908,1.3571428571428572,3.4285714285714284,93.5,16,13
121,127,1,DEN,0.435,0.568,0.3670000000000001,0.423,28,12,29,17,108,18,88,26,20,13,103.90725633319022,109.05968226706742,2.333333333333333,1.7058823529411764,116.45,16,18
108,95,1,IND,0.471,0.425,0.424,0.391,27,23,24,20,87,15,80,25,16,8,101.8867924528302,89.62264150943396,1.173913043478261,1.2,106.0,16,4
73,122,0,DAL,0.384,0.494,0.14300000000000002,0.436,11,17,27,10,73,17,87,19,5,13,84.83439860546194,141.7780360255665,0.6470588235294118,2.7,86.05000000000003,16,22
98,105,0,POR,0.394,0.478,0.3670000000000001,0.267,16,13,17,11,94,14,90,20,14,9,95.53984889105531,102.36412381184499,1.2307692307692308,1.5454545454545454,102.575,16,23
88,96,0,UTA,0.429,0.407,0.28600000000000003,0.231,13,12,13,8,84,13,81,28,10,10,93.87918389118549,102.41365515402056,1.0833333333333333,1.625,93.7375,16,21
120,116,1,DEN,0.528,0.414,0.462,0.556,25,15,26,11,89,18,99,23,10,20,124.04703450058149,119.9121333505621,1.6666666666666667,2.363636363636364,96.7375,16,18
108,116,0,WAS,0.46,0.458,0.308,0.364,19,20,27,10,87,22,96,21,12,12,107.77098665336159,115.75402270175877,0.95,2.7,100.2125,16,10
107,113,0,BOS,0.394,0.476,0.368,0.371,24,12,28,16,94,26,82,28,15,7,97.42772592761213,102.8909628955156,2.0,1.75,109.825,16,3
121,107,0,NYK,0.431,0.451,0.28600000000000003,0.333,19,7,16,16,102,31,82,33,20,6,104.58081244598098,92.48055315471045,2.7142857142857144,1.0,115.7,16,12
102,121,0,DET,0.43,0.526,0.261,0.25,21,21,32,14,86,26,97,24,7,14,97.25864123957092,115.37544696066746,1.0,2.2857142857142856,104.875,16,13
122,114,0,MIL,0.52,0.526,0.484,0.28600000000000003,25,17,27,20,75,35,76,31,6,4,117.11063114950804,109.43124550035995,1.4705882352941178,1.35,104.175,16,1
96,97,1,SAC,0.458,0.493,0.414,0.292,22,17,23,17,83,15,73,25,13,7,96.4824120603015,97.48743718592964,1.2941176470588236,1.3529411764705883,99.5,16,27
101,137,0,PHO,0.376,0.557,0.34600000000000003,0.417,16,12,32,15,93,28,88,34,7,12,90.40053703289328,122.62251062877606,1.3333333333333333,2.1333333333333333,111.725,16,25
93,110,0,OKC,0.396,0.454,0.2,0.417,23,13,28,17,101,14,97,17,15,14,85.4288666896314,101.04489608451027,1.7692307692307692,1.6470588235294117,108.8625,16,20
98,119,1,SAS,0.46,0.521,0.318,0.476,16,18,37,12,87,18,94,13,13,13,101.69931249189258,123.49202231158388,0.8888888888888888,3.083333333333333,96.3625,16,26
104,109,1,CHO,0.488,0.447,0.375,0.41,22,14,25,12,84,13,85,24,6,11,106.89965309006809,112.03905948862905,1.5714285714285714,2.083333333333333,97.2875,16,9
